t0,tau,n,touch_up,touch_down
2024-10-30 00:00:00+00:00,50,43,0.5116279069767442,0.5116279069767442
2024-10-30 00:00:00+00:00,60,43,0.3023255813953488,0.4186046511627907
2024-10-30 00:00:00+00:00,70,43,0.27906976744186046,0.27906976744186046
2024-11-06 00:00:00+00:00,50,43,0.7674418604651163,0.5348837209302325
2024-11-06 00:00:00+00:00,60,43,0.6046511627906976,0.46511627906976744
2024-11-06 00:00:00+00:00,70,43,0.5581395348837209,0.37209302325581395
2024-11-13 00:00:00+00:00,50,43,0.6744186046511628,0.5581395348837209
2024-11-13 00:00:00+00:00,60,43,0.5581395348837209,0.5348837209302325
2024-11-13 00:00:00+00:00,70,43,0.46511627906976744,0.46511627906976744
2024-11-20 00:00:00+00:00,50,43,0.5813953488372093,0.46511627906976744
2024-11-20 00:00:00+00:00,60,43,0.4418604651162791,0.37209302325581395
2024-11-20 00:00:00+00:00,70,43,0.4186046511627907,0.37209302325581395
2024-11-27 00:00:00+00:00,50,43,0.4883720930232558,0.5116279069767442
2024-11-27 00:00:00+00:00,60,43,0.3953488372093023,0.4418604651162791
2024-11-27 00:00:00+00:00,70,43,0.27906976744186046,0.3023255813953488
2024-12-04 00:00:00+00:00,50,43,0.627906976744186,0.7209302325581395
2024-12-04 00:00:00+00:00,60,43,0.46511627906976744,0.5581395348837209
2024-12-04 00:00:00+00:00,70,43,0.3488372093023256,0.4186046511627907
2024-12-11 00:00:00+00:00,50,43,0.6511627906976745,0.4418604651162791
2024-12-11 00:00:00+00:00,60,43,0.5348837209302325,0.3488372093023256
2024-12-11 00:00:00+00:00,70,43,0.37209302325581395,0.23255813953488372
2024-12-18 00:00:00+00:00,50,43,0.5581395348837209,0.813953488372093
2024-12-18 00:00:00+00:00,60,43,0.46511627906976744,0.6511627906976745
2024-12-18 00:00:00+00:00,70,43,0.3953488372093023,0.4883720930232558
2024-12-25 00:00:00+00:00,50,43,0.37209302325581395,0.46511627906976744
2024-12-25 00:00:00+00:00,60,43,0.2558139534883721,0.4186046511627907
2024-12-25 00:00:00+00:00,70,43,0.16279069767441862,0.3023255813953488
2025-01-01 00:00:00+00:00,50,43,0.3953488372093023,0.3953488372093023
2025-01-01 00:00:00+00:00,60,43,0.3488372093023256,0.3023255813953488
2025-01-01 00:00:00+00:00,70,43,0.20930232558139536,0.13953488372093023
2025-01-08 00:00:00+00:00,50,43,0.5348837209302325,0.627906976744186
2025-01-08 00:00:00+00:00,60,43,0.4186046511627907,0.4883720930232558
2025-01-08 00:00:00+00:00,70,43,0.27906976744186046,0.3488372093023256
2025-01-15 00:00:00+00:00,50,43,0.5813953488372093,0.5581395348837209
2025-01-15 00:00:00+00:00,60,43,0.5348837209302325,0.5116279069767442
2025-01-15 00:00:00+00:00,70,43,0.46511627906976744,0.4186046511627907
2025-01-22 00:00:00+00:00,50,43,0.37209302325581395,0.5813953488372093
2025-01-22 00:00:00+00:00,60,43,0.2558139534883721,0.46511627906976744
2025-01-22 00:00:00+00:00,70,43,0.18604651162790697,0.37209302325581395
2025-01-29 00:00:00+00:00,50,43,0.46511627906976744,0.6744186046511628
2025-01-29 00:00:00+00:00,60,43,0.37209302325581395,0.4883720930232558
2025-01-29 00:00:00+00:00,70,43,0.3023255813953488,0.3488372093023256
2025-02-05 00:00:00+00:00,50,43,0.4418604651162791,0.4883720930232558
2025-02-05 00:00:00+00:00,60,43,0.32558139534883723,0.37209302325581395
2025-02-05 00:00:00+00:00,70,43,0.20930232558139536,0.23255813953488372
2025-02-12 00:00:00+00:00,50,43,0.3023255813953488,0.3488372093023256
2025-02-12 00:00:00+00:00,60,43,0.23255813953488372,0.16279069767441862
2025-02-12 00:00:00+00:00,70,43,0.16279069767441862,0.13953488372093023
2025-02-19 00:00:00+00:00,50,43,0.4186046511627907,0.4186046511627907
2025-02-19 00:00:00+00:00,60,43,0.3488372093023256,0.32558139534883723
2025-02-19 00:00:00+00:00,70,43,0.16279069767441862,0.2558139534883721
2025-02-26 00:00:00+00:00,50,43,0.7674418604651163,0.7441860465116279
2025-02-26 00:00:00+00:00,60,43,0.7209302325581395,0.6046511627906976
2025-02-26 00:00:00+00:00,70,43,0.5813953488372093,0.5348837209302325
2025-03-05 00:00:00+00:00,50,43,0.6744186046511628,0.627906976744186
2025-03-05 00:00:00+00:00,60,43,0.627906976744186,0.5581395348837209
2025-03-05 00:00:00+00:00,70,43,0.5581395348837209,0.46511627906976744
2025-03-12 00:00:00+00:00,50,43,0.4883720930232558,0.5581395348837209
2025-03-12 00:00:00+00:00,60,43,0.3953488372093023,0.4883720930232558
2025-03-12 00:00:00+00:00,70,43,0.32558139534883723,0.3023255813953488
2025-03-19 00:00:00+00:00,50,43,0.5116279069767442,0.3488372093023256
2025-03-19 00:00:00+00:00,60,43,0.3953488372093023,0.2558139534883721
2025-03-19 00:00:00+00:00,70,43,0.2558139534883721,0.23255813953488372
2025-03-26 00:00:00+00:00,50,43,0.37209302325581395,0.5348837209302325
2025-03-26 00:00:00+00:00,60,43,0.3488372093023256,0.4418604651162791
2025-03-26 00:00:00+00:00,70,43,0.18604651162790697,0.2558139534883721
2025-04-02 00:00:00+00:00,50,43,0.4883720930232558,0.627906976744186
2025-04-02 00:00:00+00:00,60,43,0.37209302325581395,0.4883720930232558
2025-04-02 00:00:00+00:00,70,43,0.3488372093023256,0.3023255813953488
2025-04-09 00:00:00+00:00,50,43,0.6744186046511628,0.4883720930232558
2025-04-09 00:00:00+00:00,60,43,0.5116279069767442,0.3488372093023256
2025-04-09 00:00:00+00:00,70,43,0.3953488372093023,0.2558139534883721
2025-04-16 00:00:00+00:00,50,43,0.3953488372093023,0.23255813953488372
2025-04-16 00:00:00+00:00,60,43,0.2558139534883721,0.13953488372093023
2025-04-16 00:00:00+00:00,70,43,0.20930232558139536,0.09302325581395349
2025-04-23 00:00:00+00:00,50,43,0.4186046511627907,0.4418604651162791
2025-04-23 00:00:00+00:00,60,43,0.2558139534883721,0.27906976744186046
2025-04-23 00:00:00+00:00,70,43,0.20930232558139536,0.16279069767441862
2025-04-30 00:00:00+00:00,50,43,0.46511627906976744,0.3488372093023256
2025-04-30 00:00:00+00:00,60,43,0.3023255813953488,0.20930232558139536
2025-04-30 00:00:00+00:00,70,43,0.20930232558139536,0.06976744186046512
2025-05-07 00:00:00+00:00,50,43,0.5116279069767442,0.4186046511627907
2025-05-07 00:00:00+00:00,60,43,0.4418604651162791,0.32558139534883723
2025-05-07 00:00:00+00:00,70,43,0.3488372093023256,0.20930232558139536
2025-05-14 00:00:00+00:00,50,43,0.3488372093023256,0.5116279069767442
2025-05-14 00:00:00+00:00,60,43,0.2558139534883721,0.4418604651162791
2025-05-14 00:00:00+00:00,70,43,0.13953488372093023,0.2558139534883721
2025-05-21 00:00:00+00:00,50,43,0.4883720930232558,0.5813953488372093
2025-05-21 00:00:00+00:00,60,43,0.3488372093023256,0.37209302325581395
2025-05-21 00:00:00+00:00,70,43,0.23255813953488372,0.3023255813953488
2025-05-28 00:00:00+00:00,50,43,0.3488372093023256,0.46511627906976744
2025-05-28 00:00:00+00:00,60,43,0.20930232558139536,0.3488372093023256
2025-05-28 00:00:00+00:00,70,43,0.11627906976744186,0.3023255813953488
2025-06-04 00:00:00+00:00,50,43,0.3953488372093023,0.32558139534883723
2025-06-04 00:00:00+00:00,60,43,0.23255813953488372,0.2558139534883721
2025-06-04 00:00:00+00:00,70,43,0.18604651162790697,0.16279069767441862
2025-06-11 00:00:00+00:00,50,43,0.3953488372093023,0.6046511627906976
2025-06-11 00:00:00+00:00,60,43,0.3488372093023256,0.4186046511627907
2025-06-11 00:00:00+00:00,70,43,0.2558139534883721,0.3023255813953488
2025-06-18 00:00:00+00:00,50,43,0.5813953488372093,0.4186046511627907
2025-06-18 00:00:00+00:00,60,43,0.4186046511627907,0.32558139534883723
2025-06-18 00:00:00+00:00,70,43,0.27906976744186046,0.23255813953488372
2025-06-25 00:00:00+00:00,50,43,0.3488372093023256,0.4186046511627907
2025-06-25 00:00:00+00:00,60,43,0.18604651162790697,0.32558139534883723
2025-06-25 00:00:00+00:00,70,43,0.13953488372093023,0.16279069767441862
2025-07-02 00:00:00+00:00,50,43,0.37209302325581395,0.3488372093023256
2025-07-02 00:00:00+00:00,60,43,0.27906976744186046,0.2558139534883721
2025-07-02 00:00:00+00:00,70,43,0.23255813953488372,0.13953488372093023
2025-07-09 00:00:00+00:00,50,43,0.5348837209302325,0.4186046511627907
2025-07-09 00:00:00+00:00,60,43,0.46511627906976744,0.3488372093023256
2025-07-09 00:00:00+00:00,70,43,0.3023255813953488,0.23255813953488372
2025-07-16 00:00:00+00:00,50,43,0.6046511627906976,0.6046511627906976
2025-07-16 00:00:00+00:00,60,43,0.5116279069767442,0.5116279069767442
2025-07-16 00:00:00+00:00,70,43,0.4418604651162791,0.32558139534883723
2025-07-23 00:00:00+00:00,50,43,0.37209302325581395,0.4883720930232558
2025-07-23 00:00:00+00:00,60,43,0.2558139534883721,0.3488372093023256
2025-07-23 00:00:00+00:00,70,43,0.18604651162790697,0.32558139534883723
2025-07-30 00:00:00+00:00,50,43,0.46511627906976744,0.5581395348837209
2025-07-30 00:00:00+00:00,60,43,0.37209302325581395,0.3953488372093023
2025-07-30 00:00:00+00:00,70,43,0.27906976744186046,0.32558139534883723
2025-08-06 00:00:00+00:00,50,43,0.4418604651162791,0.4883720930232558
2025-08-06 00:00:00+00:00,60,43,0.3488372093023256,0.32558139534883723
2025-08-06 00:00:00+00:00,70,43,0.20930232558139536,0.2558139534883721
2025-08-13 00:00:00+00:00,50,43,0.5348837209302325,0.46511627906976744
2025-08-13 00:00:00+00:00,60,43,0.37209302325581395,0.32558139534883723
2025-08-13 00:00:00+00:00,70,43,0.20930232558139536,0.2558139534883721
2025-08-20 00:00:00+00:00,50,43,0.5581395348837209,0.5116279069767442
2025-08-20 00:00:00+00:00,60,43,0.4418604651162791,0.4186046511627907
2025-08-20 00:00:00+00:00,70,43,0.27906976744186046,0.37209302325581395
2025-08-27 00:00:00+00:00,50,43,0.5348837209302325,0.5581395348837209
2025-08-27 00:00:00+00:00,60,43,0.37209302325581395,0.4418604651162791
2025-08-27 00:00:00+00:00,70,43,0.2558139534883721,0.4186046511627907
2025-09-03 00:00:00+00:00,50,43,0.4883720930232558,0.46511627906976744
2025-09-03 00:00:00+00:00,60,43,0.4186046511627907,0.37209302325581395
2025-09-03 00:00:00+00:00,70,43,0.27906976744186046,0.20930232558139536
2025-09-10 00:00:00+00:00,50,43,0.3953488372093023,0.37209302325581395
2025-09-10 00:00:00+00:00,60,43,0.27906976744186046,0.2558139534883721
2025-09-10 00:00:00+00:00,70,43,0.20930232558139536,0.16279069767441862
2025-09-17 00:00:00+00:00,50,43,0.3023255813953488,0.46511627906976744
2025-09-17 00:00:00+00:00,60,43,0.27906976744186046,0.32558139534883723
2025-09-17 00:00:00+00:00,70,43,0.13953488372093023,0.27906976744186046
2025-09-24 00:00:00+00:00,50,43,0.46511627906976744,0.32558139534883723
2025-09-24 00:00:00+00:00,60,43,0.3953488372093023,0.3023255813953488
2025-09-24 00:00:00+00:00,70,43,0.27906976744186046,0.2558139534883721
2025-10-01 00:00:00+00:00,50,43,0.6511627906976745,0.5116279069767442
2025-10-01 00:00:00+00:00,60,43,0.5813953488372093,0.37209302325581395
2025-10-01 00:00:00+00:00,70,43,0.46511627906976744,0.18604651162790697
2025-10-08 00:00:00+00:00,50,43,0.6976744186046512,0.6511627906976745
